feat_set,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_mse,test_r2,trees,reg_alpha,reg_lambda
L1+L5_base,3,0.01,0.6,0.7,10,10.562710762023926,10.561930656433105,184.53050231933594,0.26339566707611084,481,,
L1+L5_base,3,0.01,0.6,0.8,1,10.562787055969238,10.571402549743652,184.7727813720703,0.26242852210998535,505,,
L1+L5_base,3,0.01,0.6,0.8,3,10.561378479003906,10.567975044250488,184.8382110595703,0.2621672749519348,505,,
L1+L5_base,3,0.01,0.6,0.8,5,10.563700675964355,10.570927619934082,184.90220642089844,0.26191186904907227,505,,
L1+L5_base,3,0.01,0.6,0.8,10,10.564498901367188,10.561144828796387,184.54380798339844,0.2633424997329712,512,,
L1+L5_base,3,0.01,0.7,0.6,1,10.552424430847168,10.5802640914917,185.25225830078125,0.2605145573616028,699,,
L1+L5_base,3,0.01,0.7,0.6,3,10.554535865783691,10.58211898803711,185.3633575439453,0.2600710391998291,694,,
L1+L5_base,3,0.01,0.7,0.6,5,10.55268383026123,10.575583457946777,185.09762573242188,0.26113176345825195,660,,
L1+L5_base,3,0.01,0.7,0.6,10,10.569368362426758,10.57260513305664,184.84649658203125,0.26213425397872925,411,,
L1+L5_base,3,0.01,0.7,0.7,1,10.538949966430664,10.577094078063965,185.0533905029297,0.26130837202072144,708,,
L1+L5_base,3,0.01,0.7,0.7,3,10.558317184448242,10.571478843688965,184.96533203125,0.2616598606109619,521,,
L1+L5_base,3,0.01,0.7,0.7,5,10.543885231018066,10.576906204223633,185.17727661132812,0.2608138918876648,692,,
L1+L5_base,3,0.01,0.7,0.7,10,10.542030334472656,10.572128295898438,184.816650390625,0.26225340366363525,708,,
L1+L5_base,3,0.01,0.7,0.8,1,10.554544448852539,10.585227966308594,185.34632873535156,0.2601390480995178,685,,
L1+L5_base,3,0.01,0.7,0.8,3,10.56641960144043,10.569140434265137,184.8907928466797,0.26195740699768066,519,,
L1+L5_base,3,0.01,0.7,0.8,5,10.565664291381836,10.574634552001953,185.01007080078125,0.26148128509521484,519,,
L1+L5_base,3,0.01,0.7,0.8,10,10.569519996643066,10.572649955749512,184.82408142089844,0.2622237205505371,501,,
L1+L5_base,3,0.01,0.8,0.6,1,10.539353370666504,10.595917701721191,185.71099853515625,0.25868338346481323,794,,
L1+L5_base,3,0.01,0.8,0.6,3,10.545793533325195,10.584386825561523,185.39645385742188,0.25993895530700684,596,,
L1+L5_base,3,0.01,0.8,0.6,5,10.544180870056152,10.588177680969238,185.4647674560547,0.25966620445251465,590,,
L1+L5_base,3,0.01,0.8,0.6,10,10.54678726196289,10.587563514709473,185.49813842773438,0.2595330476760864,714,,
L1+L5_base,3,0.01,0.8,0.7,1,10.558487892150879,10.581071853637695,185.076171875,0.2612174153327942,607,,
L1+L5_base,3,0.01,0.8,0.7,3,10.553336143493652,10.587599754333496,185.255126953125,0.26050305366516113,701,,
L1+L5_base,3,0.01,0.8,0.7,5,10.550370216369629,10.590095520019531,185.3899383544922,0.2599649429321289,701,,
L1+L5_base,3,0.01,0.8,0.7,10,10.558732032775879,10.581816673278809,185.25198364257812,0.26051563024520874,576,,
L1+L5_base,3,0.01,0.8,0.8,1,10.553811073303223,10.603273391723633,185.6969451904297,0.2587394714355469,615,,
L1+L5_base,3,0.01,0.8,0.8,3,10.55670166015625,10.603449821472168,185.7523956298828,0.2585180997848511,701,,
L1+L5_base,3,0.01,0.8,0.8,5,10.550162315368652,10.61348819732666,186.08445739746094,0.25719255208969116,781,,
L1+L5_base,3,0.01,0.8,0.8,10,10.54714298248291,10.600348472595215,185.54978942871094,0.25932687520980835,822,,
L1+L5_base,3,0.02,0.6,0.6,1,10.551597595214844,10.569823265075684,184.6689453125,0.2628430128097534,271,,
L1+L5_base,3,0.02,0.6,0.6,3,10.553794860839844,10.5778169631958,184.86497497558594,0.2620604634284973,271,,
L1+L5_base,3,0.02,0.6,0.6,5,10.553793907165527,10.569209098815918,184.6262969970703,0.26301324367523193,271,,
L1+L5_base,3,0.02,0.6,0.6,10,10.55656909942627,10.56479263305664,184.50489807128906,0.26349782943725586,271,,
L1+L5_base,3,0.02,0.6,0.7,1,10.567914962768555,10.589795112609863,185.323974609375,0.2602282166481018,190,,
L1+L5_base,3,0.02,0.6,0.7,3,10.565363883972168,10.581578254699707,184.77760314941406,0.2624092698097229,275,,
L1+L5_base,3,0.02,0.6,0.7,5,10.572235107421875,10.570160865783691,184.5121307373047,0.26346898078918457,275,,
L1+L5_base,3,0.02,0.6,0.7,10,10.574993133544922,10.561871528625488,184.27252197265625,0.2644253969192505,275,,
L1+L5_base,3,0.02,0.6,0.8,1,10.570222854614258,10.583074569702148,184.8559112548828,0.262096643447876,258,,
L1+L5_base,3,0.02,0.6,0.8,3,10.570698738098145,10.584261894226074,184.7992401123047,0.26232290267944336,258,,
L1+L5_base,3,0.02,0.6,0.8,5,10.566993713378906,10.579225540161133,184.72950744628906,0.26260125637054443,258,,
L1+L5_base,3,0.02,0.6,0.8,10,10.570436477661133,10.56557559967041,184.17068481445312,0.26483190059661865,296,,
L1+L5_base,3,0.02,0.7,0.6,1,10.557220458984375,10.553167343139648,184.47897338867188,0.2636013627052307,265,,
L1+L5_base,3,0.02,0.7,0.6,3,10.553851127624512,10.561763763427734,184.6793975830078,0.26280122995376587,282,,
L1+L5_base,3,0.02,0.7,0.6,5,10.556522369384766,10.556618690490723,184.36607360839844,0.26405197381973267,282,,
L1+L5_base,3,0.02,0.7,0.6,10,10.5595121383667,10.559410095214844,184.53622436523438,0.2633727788925171,282,,
L1+L5_base,3,0.02,0.7,0.7,1,10.561525344848633,10.56977367401123,184.8049774169922,0.2623000144958496,290,,
L1+L5_base,3,0.02,0.7,0.7,3,10.559216499328613,10.565728187561035,184.76416015625,0.26246291399002075,284,,
L1+L5_base,3,0.02,0.7,0.7,5,10.562859535217285,10.568351745605469,184.83834838867188,0.2621667981147766,284,,
L1+L5_base,3,0.02,0.7,0.7,10,10.566303253173828,10.561299324035645,184.68678283691406,0.2627717852592468,237,,
