window,model,mse,mae,r2
5,Ridge,222.8203125,11.668258666992188,0.11055129766464233
5,XGBoost,224.69102478027344,11.709065437316895,0.10308384895324707
10,Ridge,215.41726684570312,11.405936241149902,0.1401025652885437
10,XGBoost,219.38421630859375,11.519810676574707,0.12426745891571045
15,Ridge,211.30859375,11.332456588745117,0.15650349855422974
15,XGBoost,214.07342529296875,11.402170181274414,0.14546692371368408
20,Ridge,208.12753295898438,11.223328590393066,0.16920161247253418
20,XGBoost,212.88304138183594,11.376108169555664,0.150218665599823
