config_idx,nn_hidden_dims,nn_lr,nn_dropout,nn_weight_decay,nn_batch_size,val_mae,val_mse,test_mae,test_mse,test_r2,nn_activation,nn_use_residual
0,"(64, 32)",0.0003,0.1,1e-05,64,10.5226469039917,184.72433471679688,10.549091339111328,183.0291290283203,0.26938873529434204,,
1,"(64, 32)",0.0003,0.1,1e-05,128,10.518787384033203,184.6703643798828,10.529545783996582,182.53004455566406,0.2713810205459595,,
2,"(64, 32)",0.0003,0.1,1e-05,256,10.522838592529297,185.16400146484375,10.565539360046387,183.89283752441406,0.2659410238265991,,
3,"(64, 32)",0.0003,0.1,0.0001,64,10.522499084472656,184.72677612304688,10.55042552947998,183.06727600097656,0.2692365050315857,,
4,"(64, 32)",0.0003,0.1,0.0001,128,10.519513130187988,184.69593811035156,10.52954387664795,182.5296630859375,0.27138251066207886,,
5,"(64, 32)",0.0003,0.1,0.0001,256,10.533427238464355,185.12413024902344,10.526374816894531,182.75486755371094,0.2704835534095764,,
6,"(64, 32)",0.0003,0.1,0.001,64,10.520364761352539,184.71665954589844,10.53685474395752,182.80862426757812,0.270268976688385,,
7,"(64, 32)",0.0003,0.1,0.001,128,10.519556045532227,184.6975860595703,10.531149864196777,182.5614013671875,0.27125585079193115,,
8,"(64, 32)",0.0003,0.1,0.001,256,10.534564971923828,185.1749725341797,10.52723217010498,182.7662811279297,0.27043795585632324,,
9,"(64, 32)",0.0003,0.2,1e-05,64,10.522714614868164,184.8142547607422,10.553314208984375,183.17782592773438,0.2687951922416687,,
10,"(64, 32)",0.0003,0.2,1e-05,128,10.518951416015625,184.82969665527344,10.536048889160156,182.6646270751953,0.2708437442779541,,
11,"(64, 32)",0.0003,0.2,1e-05,256,10.527530670166016,184.82720947265625,10.516371726989746,182.54974365234375,0.27130234241485596,,
12,"(64, 32)",0.0003,0.2,0.0001,64,10.522566795349121,184.80496215820312,10.552712440490723,183.1756591796875,0.26880383491516113,,
13,"(64, 32)",0.0003,0.2,0.0001,128,10.518911361694336,184.8377227783203,10.536637306213379,182.6799774169922,0.2707825303077698,,
14,"(64, 32)",0.0003,0.2,0.0001,256,10.528096199035645,184.859619140625,10.51766300201416,182.63768005371094,0.2709513306617737,,
15,"(64, 32)",0.0003,0.2,0.001,64,10.522490501403809,184.80726623535156,10.553482055664062,183.1859130859375,0.26876288652420044,,
16,"(64, 32)",0.0003,0.2,0.001,128,10.51914119720459,184.84132385253906,10.536663055419922,182.6915740966797,0.2707361578941345,,
17,"(64, 32)",0.0003,0.2,0.001,256,10.528013229370117,184.8539276123047,10.517019271850586,182.64064025878906,0.27093952894210815,,
18,"(64, 32)",0.0003,0.3,1e-05,64,10.522228240966797,184.913330078125,10.558358192443848,183.14419555664062,0.2689294219017029,,
19,"(64, 32)",0.0003,0.3,1e-05,128,10.506077766418457,184.57275390625,10.538268089294434,182.62322998046875,0.27100902795791626,,
20,"(64, 32)",0.0003,0.3,1e-05,256,10.525074005126953,184.8939971923828,10.516164779663086,182.34033203125,0.2721382975578308,,
21,"(64, 32)",0.0003,0.3,0.0001,64,10.523614883422852,184.9258270263672,10.557910919189453,183.15188598632812,0.26889872550964355,,
22,"(64, 32)",0.0003,0.3,0.0001,128,10.505192756652832,184.53634643554688,10.538216590881348,182.62184143066406,0.27101457118988037,,
23,"(64, 32)",0.0003,0.3,0.0001,256,10.524408340454102,184.90670776367188,10.517526626586914,182.39028930664062,0.27193886041641235,,
24,"(64, 32)",0.0003,0.3,0.001,64,10.527480125427246,184.9215087890625,10.525774955749512,182.6139678955078,0.271045982837677,,
25,"(64, 32)",0.0003,0.3,0.001,128,10.505962371826172,184.58160400390625,10.539073944091797,182.64923095703125,0.27090519666671753,,
26,"(64, 32)",0.0003,0.3,0.001,256,10.524396896362305,184.8954315185547,10.517579078674316,182.37799072265625,0.2719879746437073,,
27,"(64, 32)",0.0003,0.4,1e-05,64,10.519615173339844,184.6260223388672,10.538735389709473,182.7508087158203,0.27049970626831055,,
28,"(64, 32)",0.0003,0.4,1e-05,128,10.509780883789062,184.7582244873047,10.536508560180664,182.58229064941406,0.2711724638938904,,
29,"(64, 32)",0.0003,0.4,1e-05,256,10.52450180053711,184.92127990722656,10.521531105041504,182.3243865966797,0.2722019553184509,,
30,"(64, 32)",0.0003,0.4,0.0001,64,10.517721176147461,184.59353637695312,10.539579391479492,182.76295471191406,0.27045124769210815,,
31,"(64, 32)",0.0003,0.4,0.0001,128,10.510536193847656,184.7445526123047,10.53664493560791,182.5958709716797,0.2711182236671448,,
32,"(64, 32)",0.0003,0.4,0.0001,256,10.524863243103027,184.9484405517578,10.521020889282227,182.30386352539062,0.2722838521003723,,
33,"(64, 32)",0.0003,0.4,0.001,64,10.516434669494629,184.5889434814453,10.538564682006836,182.7075958251953,0.2706722021102905,,
34,"(64, 32)",0.0003,0.4,0.001,128,10.509882926940918,184.7373504638672,10.53591537475586,182.57923889160156,0.27118462324142456,,
35,"(64, 32)",0.0003,0.4,0.001,256,10.524084091186523,184.93434143066406,10.520912170410156,182.3033905029297,0.2722857594490051,,
36,"(64, 32)",0.0003,0.5,1e-05,64,10.528051376342773,184.94227600097656,10.556058883666992,183.54872131347656,0.2673146724700928,,
37,"(64, 32)",0.0003,0.5,1e-05,128,10.503581047058105,184.73081970214844,10.548144340515137,183.72216796875,0.26662230491638184,,
38,"(64, 32)",0.0003,0.5,1e-05,256,10.52584171295166,184.93844604492188,10.525243759155273,183.0252227783203,0.2694043517112732,,
39,"(64, 32)",0.0003,0.5,0.0001,64,10.523293495178223,184.93858337402344,10.54150390625,182.98861694335938,0.26955050230026245,,
40,"(64, 32)",0.0003,0.5,0.0001,128,10.501270294189453,184.62997436523438,10.546379089355469,183.72572326660156,0.2666081190109253,,
41,"(64, 32)",0.0003,0.5,0.0001,256,10.531035423278809,184.91835021972656,10.533914566040039,182.9530792236328,0.2696923613548279,,
42,"(64, 32)",0.0003,0.5,0.001,64,10.52846622467041,184.8988800048828,10.55241870880127,183.45513916015625,0.26768821477890015,,
43,"(64, 32)",0.0003,0.5,0.001,128,10.50584602355957,184.6837921142578,10.550911903381348,183.81492614746094,0.2662520408630371,,
44,"(64, 32)",0.0003,0.5,0.001,256,10.530852317810059,184.92172241210938,10.53172492980957,182.97569274902344,0.26960206031799316,,
45,"(64, 32)",0.0005,0.1,1e-05,64,10.520098686218262,184.6185302734375,10.536897659301758,183.2357635498047,0.2685639262199402,,
46,"(64, 32)",0.0005,0.1,1e-05,128,10.516057968139648,184.55810546875,10.514673233032227,182.34542846679688,0.2721179723739624,,
47,"(64, 32)",0.0005,0.1,1e-05,256,10.531988143920898,185.04920959472656,10.52105712890625,182.46278381347656,0.27164947986602783,,
48,"(64, 32)",0.0005,0.1,0.0001,64,10.520991325378418,184.61270141601562,10.54074764251709,183.3131561279297,0.26825499534606934,,
49,"(64, 32)",0.0005,0.1,0.0001,128,10.515798568725586,184.5404052734375,10.514406204223633,182.38491821289062,0.2719603180885315,,
50,"(64, 32)",0.0005,0.1,0.0001,256,10.532222747802734,185.06285095214844,10.520530700683594,182.45594787597656,0.27167677879333496,,
51,"(64, 32)",0.0005,0.1,0.001,64,10.520437240600586,184.57022094726562,10.539368629455566,183.28082275390625,0.26838409900665283,,
52,"(64, 32)",0.0005,0.1,0.001,128,10.515080451965332,184.52862548828125,10.511941909790039,182.34283447265625,0.27212828397750854,,
53,"(64, 32)",0.0005,0.1,0.001,256,10.532549858093262,185.04348754882812,10.520467758178711,182.43544006347656,0.2717586159706116,,
54,"(64, 32)",0.0005,0.2,1e-05,64,10.524744033813477,184.80111694335938,10.539169311523438,183.2908477783203,0.26834404468536377,,
55,"(64, 32)",0.0005,0.2,1e-05,128,10.516742706298828,184.53761291503906,10.535815238952637,182.89295959472656,0.2699323296546936,,
56,"(64, 32)",0.0005,0.2,1e-05,256,10.532668113708496,184.9704132080078,10.52640438079834,182.48910522460938,0.2715443968772888,,
57,"(64, 32)",0.0005,0.2,0.0001,64,10.517948150634766,184.63101196289062,10.536314964294434,183.23390197753906,0.2685713768005371,,
58,"(64, 32)",0.0005,0.2,0.0001,128,10.516948699951172,184.5282440185547,10.535343170166016,182.87313842773438,0.27001142501831055,,
59,"(64, 32)",0.0005,0.2,0.0001,256,10.512681007385254,184.91604614257812,10.538244247436523,183.22528076171875,0.2686057686805725,,
60,"(64, 32)",0.0005,0.2,0.001,64,10.521000862121582,184.6849822998047,10.53630542755127,183.25341796875,0.2684934735298157,,
61,"(64, 32)",0.0005,0.2,0.001,128,10.518216133117676,184.55735778808594,10.534567832946777,182.86289978027344,0.27005231380462646,,
62,"(64, 32)",0.0005,0.2,0.001,256,10.508869171142578,184.89976501464844,10.534175872802734,183.1469268798828,0.26891857385635376,,
63,"(64, 32)",0.0005,0.3,1e-05,64,10.52218246459961,184.9854278564453,10.516349792480469,182.63975524902344,0.2709430456161499,,
64,"(64, 32)",0.0005,0.3,1e-05,128,10.504998207092285,184.361328125,10.515803337097168,182.364013671875,0.27204376459121704,,
65,"(64, 32)",0.0005,0.3,1e-05,256,10.52413558959961,184.96847534179688,10.521380424499512,182.3302001953125,0.2721787095069885,,
66,"(64, 32)",0.0005,0.3,0.0001,64,10.522587776184082,185.01268005371094,10.516681671142578,182.6554412841797,0.27088046073913574,,
67,"(64, 32)",0.0005,0.3,0.0001,128,10.507022857666016,184.39146423339844,10.51882266998291,182.44166564941406,0.271733820438385,,
68,"(64, 32)",0.0005,0.3,0.0001,256,10.523053169250488,184.92098999023438,10.52033805847168,182.3183135986328,0.27222615480422974,,
69,"(64, 32)",0.0005,0.3,0.001,64,10.523650169372559,185.0452880859375,10.522727966308594,182.8140869140625,0.2702471613883972,,
70,"(64, 32)",0.0005,0.3,0.001,128,10.504118919372559,184.40101623535156,10.514409065246582,182.32435607910156,0.2722020149230957,,
71,"(64, 32)",0.0005,0.3,0.001,256,10.523268699645996,184.94876098632812,10.52112865447998,182.33425903320312,0.2721625566482544,,
72,"(64, 32)",0.0005,0.4,1e-05,64,10.51498031616211,184.61744689941406,10.535834312438965,183.05517578125,0.26928478479385376,,
73,"(64, 32)",0.0005,0.4,1e-05,128,10.518343925476074,184.5756072998047,10.538333892822266,182.8133087158203,0.2702503204345703,,
74,"(64, 32)",0.0005,0.4,1e-05,256,10.525077819824219,185.02273559570312,10.526601791381836,182.5176544189453,0.27143049240112305,,
75,"(64, 32)",0.0005,0.4,0.0001,64,10.517189025878906,184.69271850585938,10.52947998046875,182.8915557861328,0.2699379324913025,,
76,"(64, 32)",0.0005,0.4,0.0001,128,10.518204689025879,184.58248901367188,10.539145469665527,182.8215789794922,0.27021723985671997,,
77,"(64, 32)",0.0005,0.4,0.0001,256,10.524450302124023,185.0123748779297,10.526833534240723,182.52618408203125,0.2713963985443115,,
78,"(64, 32)",0.0005,0.4,0.001,64,10.517752647399902,184.7303009033203,10.53182601928711,182.93768310546875,0.2697538137435913,,
79,"(64, 32)",0.0005,0.4,0.001,128,10.517365455627441,184.56338500976562,10.539042472839355,182.81805419921875,0.27023130655288696,,
80,"(64, 32)",0.0005,0.4,0.001,256,10.524279594421387,185.00369262695312,10.526756286621094,182.53518676757812,0.27136045694351196,,
81,"(64, 32)",0.0005,0.5,1e-05,64,10.53693675994873,185.03126525878906,10.545952796936035,183.17738342285156,0.26879698038101196,,
82,"(64, 32)",0.0005,0.5,1e-05,128,10.523543357849121,184.6436309814453,10.553071022033691,183.19046020507812,0.2687447667121887,,
83,"(64, 32)",0.0005,0.5,1e-05,256,10.514622688293457,184.80372619628906,10.532498359680176,182.41331481933594,0.2718469500541687,,
84,"(64, 32)",0.0005,0.5,0.0001,64,10.533418655395508,184.98117065429688,10.545881271362305,183.15419006347656,0.26888954639434814,,
85,"(64, 32)",0.0005,0.5,0.0001,128,10.52330207824707,184.64276123046875,10.553327560424805,183.19000244140625,0.26874661445617676,,
86,"(64, 32)",0.0005,0.5,0.0001,256,10.514433860778809,184.7920379638672,10.532918930053711,182.42002868652344,0.27182018756866455,,
87,"(64, 32)",0.0005,0.5,0.001,64,10.536252975463867,185.01914978027344,10.54750919342041,183.1896514892578,0.2687479853630066,,
88,"(64, 32)",0.0005,0.5,0.001,128,10.5068998336792,184.61727905273438,10.519793510437012,182.3445281982422,0.2721215486526489,,
89,"(64, 32)",0.0005,0.5,0.001,256,10.515166282653809,184.8000030517578,10.533501625061035,182.4257049560547,0.2717975378036499,,
90,"(64, 32)",0.001,0.1,1e-05,64,10.532363891601562,185.3245849609375,10.518101692199707,182.50694274902344,0.271473228931427,,
91,"(64, 32)",0.001,0.1,1e-05,128,10.520621299743652,184.91839599609375,10.512724876403809,182.69606018066406,0.2707183361053467,,
92,"(64, 32)",0.001,0.1,1e-05,256,10.52554702758789,185.06442260742188,10.519474029541016,182.63851928710938,0.27094799280166626,,
93,"(64, 32)",0.001,0.1,0.0001,64,10.528804779052734,185.0414276123047,10.537161827087402,183.4566650390625,0.26768219470977783,,
94,"(64, 32)",0.001,0.1,0.0001,128,10.518322944641113,184.84359741210938,10.514495849609375,182.82423400878906,0.27020663022994995,,
95,"(64, 32)",0.001,0.1,0.0001,256,10.525809288024902,185.06675720214844,10.5197172164917,182.6431884765625,0.27092933654785156,,
96,"(64, 32)",0.001,0.1,0.001,64,10.52355670928955,185.12669372558594,10.531238555908203,183.41282653808594,0.2678571343421936,,
97,"(64, 32)",0.001,0.1,0.001,128,10.514433860778809,184.75576782226562,10.512751579284668,182.76324462890625,0.2704501152038574,,
98,"(64, 32)",0.001,0.1,0.001,256,10.528285026550293,185.10037231445312,10.520994186401367,182.673828125,0.27080702781677246,,
99,"(64, 32)",0.001,0.2,1e-05,64,10.53923225402832,185.3035888671875,10.520694732666016,182.8131866455078,0.27025073766708374,,
100,"(64, 32)",0.001,0.2,1e-05,128,10.50992488861084,184.58465576171875,10.518107414245605,182.93093872070312,0.269780695438385,,
101,"(64, 32)",0.001,0.2,1e-05,256,10.53667163848877,185.14096069335938,10.513795852661133,182.43121337890625,0.2717755436897278,,
102,"(64, 32)",0.001,0.2,0.0001,64,10.527965545654297,185.2370147705078,10.534183502197266,183.45388793945312,0.2676932215690613,,
103,"(64, 32)",0.001,0.2,0.0001,128,10.50207233428955,184.3590087890625,10.512117385864258,182.85357666015625,0.2700895667076111,,
104,"(64, 32)",0.001,0.2,0.0001,256,10.535951614379883,185.1544952392578,10.51375675201416,182.41856384277344,0.27182596921920776,,
105,"(64, 32)",0.001,0.2,0.001,64,10.520342826843262,185.0559844970703,10.537056922912598,183.420654296875,0.2678259015083313,,
106,"(64, 32)",0.001,0.2,0.001,128,10.509260177612305,184.54476928710938,10.51780891418457,182.98861694335938,0.2695504426956177,,
107,"(64, 32)",0.001,0.2,0.001,256,10.53557300567627,185.1363067626953,10.513458251953125,182.4236297607422,0.2718057632446289,,
108,"(64, 32)",0.001,0.3,1e-05,64,10.522971153259277,185.0973358154297,10.521512031555176,183.19943237304688,0.2687089443206787,,
109,"(64, 32)",0.001,0.3,1e-05,128,10.50645637512207,184.56704711914062,10.51829719543457,182.78887939453125,0.2703477740287781,,
110,"(64, 32)",0.001,0.3,1e-05,256,10.520856857299805,184.965576171875,10.51445484161377,182.55406188964844,0.27128517627716064,,
111,"(64, 32)",0.001,0.3,0.0001,64,10.52506160736084,185.1414337158203,10.506430625915527,182.4727020263672,0.271609902381897,,
112,"(64, 32)",0.001,0.3,0.0001,128,10.506338119506836,184.5706329345703,10.521961212158203,182.8870391845703,0.26995593309402466,,
113,"(64, 32)",0.001,0.3,0.0001,256,10.52197551727295,184.87274169921875,10.514787673950195,182.61135864257812,0.2710564136505127,,
114,"(64, 32)",0.001,0.3,0.001,64,10.517882347106934,184.98243713378906,10.524892807006836,183.25608825683594,0.2684828042984009,,
115,"(64, 32)",0.001,0.3,0.001,128,10.50741958618164,184.58607482910156,10.516849517822266,182.77696228027344,0.27039533853530884,,
116,"(64, 32)",0.001,0.3,0.001,256,10.522120475769043,184.8771514892578,10.511045455932617,182.52890014648438,0.2713855504989624,,
117,"(64, 32)",0.001,0.4,1e-05,64,10.559467315673828,185.21896362304688,10.588024139404297,184.04910278320312,0.26531726121902466,,
118,"(64, 32)",0.001,0.4,1e-05,128,10.517923355102539,184.79043579101562,10.501310348510742,182.50196838378906,0.2714930772781372,,
119,"(64, 32)",0.001,0.4,1e-05,256,10.523268699645996,184.85250854492188,10.515558242797852,182.67059326171875,0.2708199620246887,,
120,"(64, 32)",0.001,0.4,0.0001,64,10.562373161315918,185.316162109375,10.587660789489746,184.08152770996094,0.2651877999305725,,
121,"(64, 32)",0.001,0.4,0.0001,128,10.517081260681152,184.78152465820312,10.502182960510254,182.56216430664062,0.27125275135040283,,
122,"(64, 32)",0.001,0.4,0.0001,256,10.523101806640625,184.86636352539062,10.51528263092041,182.70835876464844,0.27066922187805176,,
123,"(64, 32)",0.001,0.4,0.001,64,10.560590744018555,185.24644470214844,10.586889266967773,184.05938720703125,0.2652761936187744,,
124,"(64, 32)",0.001,0.4,0.001,128,10.51884651184082,184.829345703125,10.501286506652832,182.50132751464844,0.27149564027786255,,
125,"(64, 32)",0.001,0.4,0.001,256,10.525211334228516,184.86325073242188,10.517107009887695,182.66390991210938,0.2708466053009033,,
126,"(64, 32)",0.001,0.5,1e-05,64,10.555760383605957,185.29957580566406,10.531549453735352,182.76258850097656,0.27045273780822754,,
127,"(64, 32)",0.001,0.5,1e-05,128,10.515095710754395,184.55322265625,10.520121574401855,182.72219848632812,0.27061396837234497,,
128,"(64, 32)",0.001,0.5,1e-05,256,10.513070106506348,184.6111297607422,10.509117126464844,182.3762969970703,0.2719947099685669,,
129,"(64, 32)",0.001,0.5,0.0001,64,10.52673625946045,185.2583770751953,10.541402816772461,183.17926025390625,0.26878947019577026,,
130,"(64, 32)",0.001,0.5,0.0001,128,10.512584686279297,184.51219177246094,10.516889572143555,182.6083221435547,0.2710685729980469,,
131,"(64, 32)",0.001,0.5,0.0001,256,10.515176773071289,184.66555786132812,10.508764266967773,182.38490295410156,0.27196037769317627,,
132,"(64, 32)",0.001,0.5,0.001,64,10.55345630645752,185.3761444091797,10.529562950134277,182.71893310546875,0.2706270217895508,,
