feat_set,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_mse,test_r2,trees,reg_alpha,reg_lambda
L1+L5_enhanced,3,0.005,0.7,0.7,3,10.569108963012695,10.5621337890625,184.4182586669922,0.2638436555862427,972,,
L1+L5_enhanced,3,0.005,0.7,0.7,5,10.570775985717773,10.564499855041504,184.44212341308594,0.2637484073638916,972,,
L1+L5_enhanced,3,0.005,0.7,0.7,10,10.57332992553711,10.56292724609375,184.51217651367188,0.26346874237060547,867,,
L1+L5_enhanced,3,0.005,0.7,0.8,1,10.574592590332031,10.562045097351074,184.48098754882812,0.26359325647354126,874,,
L1+L5_enhanced,3,0.005,0.7,0.8,3,10.571199417114258,10.564115524291992,184.48391723632812,0.2635815739631653,978,,
L1+L5_enhanced,3,0.005,0.7,0.8,5,10.575045585632324,10.566280364990234,184.6369171142578,0.26297086477279663,867,,
L1+L5_enhanced,3,0.005,0.7,0.8,10,10.579345703125,10.565215110778809,184.5663604736328,0.2632524371147156,847,,
L1+L5_enhanced,3,0.005,0.8,0.6,1,10.5663423538208,10.565150260925293,184.6580352783203,0.26288652420043945,984,,
L1+L5_enhanced,3,0.005,0.8,0.6,3,10.565653800964355,10.561814308166504,184.59519958496094,0.2631373405456543,976,,
L1+L5_enhanced,3,0.005,0.8,0.6,5,10.571194648742676,10.571276664733887,184.9066619873047,0.2618941068649292,792,,
L1+L5_enhanced,3,0.005,0.8,0.6,10,10.567717552185059,10.564706802368164,184.58665466308594,0.2631714344024658,977,,
L1+L5_enhanced,3,0.005,0.8,0.7,1,10.564981460571289,10.56476879119873,184.55052185058594,0.26331567764282227,980,,
L1+L5_enhanced,3,0.005,0.8,0.7,3,10.566417694091797,10.562418937683105,184.530517578125,0.26339560747146606,980,,
L1+L5_enhanced,3,0.005,0.8,0.7,5,10.565656661987305,10.565261840820312,184.56094360351562,0.2632741332054138,980,,
L1+L5_enhanced,3,0.005,0.8,0.7,10,10.566556930541992,10.564139366149902,184.58547973632812,0.2631761431694031,980,,
L1+L5_enhanced,3,0.005,0.8,0.8,1,10.56999683380127,10.562353134155273,184.5347442626953,0.26337867975234985,885,,
L1+L5_enhanced,3,0.005,0.8,0.8,3,10.569356918334961,10.56000804901123,184.51060485839844,0.2634750008583069,980,,
L1+L5_enhanced,3,0.005,0.8,0.8,5,10.575472831726074,10.569107055664062,184.7811737060547,0.2623950242996216,741,,
L1+L5_enhanced,3,0.005,0.8,0.8,10,10.57548713684082,10.565044403076172,184.65765380859375,0.2628880739212036,795,,
L1+L5_enhanced,3,0.01,0.6,0.6,1,10.57521915435791,10.56314468383789,184.6269073486328,0.26301079988479614,371,,
L1+L5_enhanced,3,0.01,0.6,0.6,3,10.573653221130371,10.557024955749512,184.45375061035156,0.2637019753456116,399,,
L1+L5_enhanced,3,0.01,0.6,0.6,5,10.572299003601074,10.552742004394531,184.09127807617188,0.26514893770217896,481,,
L1+L5_enhanced,3,0.01,0.6,0.6,10,10.575357437133789,10.557133674621582,184.3977813720703,0.2639254331588745,389,,
L1+L5_enhanced,3,0.01,0.6,0.7,1,10.564481735229492,10.558691024780273,184.5252685546875,0.2634165287017822,535,,
L1+L5_enhanced,3,0.01,0.6,0.7,3,10.560858726501465,10.556368827819824,184.45404052734375,0.26370084285736084,535,,
L1+L5_enhanced,3,0.01,0.6,0.7,5,10.563961029052734,10.553925514221191,184.2973175048828,0.26432645320892334,481,,
L1+L5_enhanced,3,0.01,0.6,0.7,10,10.561103820800781,10.554450988769531,184.40908813476562,0.26388031244277954,401,,
L1+L5_enhanced,3,0.01,0.6,0.8,1,10.576986312866211,10.559755325317383,184.53729248046875,0.26336848735809326,376,,
L1+L5_enhanced,3,0.01,0.6,0.8,3,10.58194351196289,10.558014869689941,184.50254821777344,0.2635071873664856,374,,
L1+L5_enhanced,3,0.01,0.6,0.8,5,10.575672149658203,10.557239532470703,184.49913024902344,0.26352083683013916,376,,
L1+L5_enhanced,3,0.01,0.6,0.8,10,10.564142227172852,10.560006141662598,184.2048797607422,0.264695405960083,535,,
L1+L5_enhanced,3,0.01,0.7,0.6,1,10.578845024108887,10.547201156616211,184.1768798828125,0.26480722427368164,479,,
L1+L5_enhanced,3,0.01,0.7,0.6,3,10.579973220825195,10.551401138305664,184.32305908203125,0.26422369480133057,479,,
L1+L5_enhanced,3,0.01,0.7,0.6,5,10.5820894241333,10.54813289642334,184.23252868652344,0.26458507776260376,484,,
L1+L5_enhanced,3,0.01,0.7,0.6,10,10.584006309509277,10.544075965881348,184.17694091796875,0.26480698585510254,505,,
L1+L5_enhanced,3,0.01,0.7,0.7,1,10.574678421020508,10.546908378601074,184.24586486816406,0.26453179121017456,558,,
L1+L5_enhanced,3,0.01,0.7,0.7,3,10.579581260681152,10.546680450439453,184.2742462158203,0.2644185423851013,536,,
L1+L5_enhanced,3,0.01,0.7,0.7,5,10.577449798583984,10.537789344787598,184.10684204101562,0.2650867700576782,562,,
L1+L5_enhanced,3,0.01,0.7,0.7,10,10.5864896774292,10.548884391784668,184.37890625,0.2640007734298706,442,,
L1+L5_enhanced,3,0.01,0.7,0.8,1,10.584437370300293,10.5531005859375,184.3447723388672,0.26413702964782715,536,,
L1+L5_enhanced,3,0.01,0.7,0.8,3,10.582196235656738,10.55478286743164,184.37176513671875,0.26402926445007324,536,,
L1+L5_enhanced,3,0.01,0.7,0.8,5,10.587386131286621,10.557071685791016,184.38331604003906,0.2639831304550171,486,,
L1+L5_enhanced,3,0.01,0.7,0.8,10,10.576872825622559,10.546321868896484,184.025634765625,0.2654109001159668,704,,
L1+L5_enhanced,3,0.01,0.8,0.6,1,10.559453964233398,10.56137752532959,184.5727996826172,0.2632267475128174,632,,
L1+L5_enhanced,3,0.01,0.8,0.6,3,10.571879386901855,10.56517505645752,184.81394958496094,0.2622641324996948,418,,
L1+L5_enhanced,3,0.01,0.8,0.6,5,10.560056686401367,10.561747550964355,184.5834197998047,0.2631843686103821,632,,
L1+L5_enhanced,3,0.01,0.8,0.6,10,10.558239936828613,10.55673599243164,184.4800262451172,0.26359713077545166,632,,
L1+L5_enhanced,3,0.01,0.8,0.7,1,10.555412292480469,10.562341690063477,184.7498779296875,0.2625199556350708,601,,
L1+L5_enhanced,3,0.01,0.8,0.7,3,10.553892135620117,10.561895370483398,184.6564483642578,0.26289284229278564,607,,
L1+L5_enhanced,3,0.01,0.8,0.7,5,10.556435585021973,10.558775901794434,184.55300903320312,0.26330578327178955,601,,
L1+L5_enhanced,3,0.01,0.8,0.7,10,10.554780960083008,10.559778213500977,184.36524963378906,0.2640552520751953,746,,
L1+L5_enhanced,3,0.01,0.8,0.8,1,10.569548606872559,10.56474781036377,184.61668395996094,0.2630516290664673,607,,
L1+L5_enhanced,3,0.01,0.8,0.8,3,10.57603645324707,10.561261177062988,184.56732177734375,0.26324862241744995,417,,
L1+L5_enhanced,3,0.01,0.8,0.8,5,10.575777053833008,10.56557559967041,184.65586853027344,0.2628951668739319,417,,
L1+L5_enhanced,3,0.01,0.8,0.8,10,10.567867279052734,10.554634094238281,184.44375610351562,0.2637418508529663,618,,
L1+L5_enhanced,3,0.02,0.6,0.6,1,10.573542594909668,10.57166862487793,184.93055725097656,0.2617986798286438,225,,
L1+L5_enhanced,3,0.02,0.6,0.6,3,10.574474334716797,10.573697090148926,185.0648193359375,0.2612627148628235,224,,
L1+L5_enhanced,3,0.02,0.6,0.6,5,10.576020240783691,10.5812406539917,185.01287841796875,0.26147007942199707,224,,
L1+L5_enhanced,3,0.02,0.6,0.6,10,10.578326225280762,10.568517684936523,184.80496215820312,0.2623000144958496,224,,
L1+L5_enhanced,3,0.02,0.6,0.7,1,10.58350944519043,10.571627616882324,184.5708465576172,0.26323461532592773,224,,
L1+L5_enhanced,3,0.02,0.6,0.7,3,10.588570594787598,10.568479537963867,184.5948486328125,0.2631387710571289,224,,
L1+L5_enhanced,3,0.02,0.6,0.7,5,10.589344024658203,10.573983192443848,184.6255645751953,0.2630161643028259,224,,
L1+L5_enhanced,3,0.02,0.6,0.7,10,10.584242820739746,10.567028045654297,184.47215270996094,0.2636285424232483,224,,
L1+L5_enhanced,3,0.02,0.6,0.8,1,10.569676399230957,10.557714462280273,184.22657775878906,0.26460880041122437,255,,
L1+L5_enhanced,3,0.02,0.6,0.8,3,10.571303367614746,10.549564361572266,183.91004943847656,0.2658722996711731,255,,
L1+L5_enhanced,3,0.02,0.6,0.8,5,10.570956230163574,10.556406021118164,184.09352111816406,0.26513993740081787,255,,
L1+L5_enhanced,3,0.02,0.6,0.8,10,10.560755729675293,10.547557830810547,183.89019775390625,0.26595157384872437,223,,
L1+L5_enhanced,3,0.02,0.7,0.6,1,10.566058158874512,10.552338600158691,183.96046447753906,0.26567113399505615,246,,
L1+L5_enhanced,3,0.02,0.7,0.6,3,10.559772491455078,10.550087928771973,184.025634765625,0.2654109001159668,241,,
L1+L5_enhanced,3,0.02,0.7,0.6,5,10.566056251525879,10.543210983276367,184.02267456054688,0.2654227614402771,250,,
L1+L5_enhanced,3,0.02,0.7,0.6,10,10.554689407348633,10.545241355895996,183.94334411621094,0.26573944091796875,253,,
L1+L5_enhanced,3,0.02,0.7,0.7,1,10.547887802124023,10.546969413757324,184.15615844726562,0.2648898959159851,324,,
L1+L5_enhanced,3,0.02,0.7,0.7,3,10.554696083068848,10.545982360839844,184.23780822753906,0.26456397771835327,324,,
L1+L5_enhanced,3,0.02,0.7,0.7,5,10.55340576171875,10.549125671386719,184.33885192871094,0.2641606330871582,324,,
L1+L5_enhanced,3,0.02,0.7,0.7,10,10.5502347946167,10.561715126037598,184.76730346679688,0.2624503970146179,435,,
