mse,mae,median_ae,r2,experiment,model,train_time,alpha,best_iteration,best_val_mse
210.0753631591797,11.429960250854492,9.489716529846191,0.16142630577087402,L5_standalone,Ridge,0.007662057876586914,100.0,,
203.24441528320312,11.20368480682373,9.31044864654541,0.18869388103485107,L5_standalone,XGBoost,0.6531980037689209,,550.0,
205.08676147460938,11.258667945861816,9.347804069519043,0.18133962154388428,L5_standalone,NeuralNet,6.526636600494385,,,204.02931213378906
182.58546447753906,10.52518081665039,8.383302688598633,0.2711597681045532,L5+L1_combined,Ridge,0.03195691108703613,1000.0,,
185.76451110839844,10.60137939453125,8.497089385986328,0.25846970081329346,L5+L1_combined,XGBoost,0.39849185943603516,,298.0,
184.41456604003906,10.561467170715332,8.294695854187012,0.263858437538147,L5+L1_combined,NeuralNet,3.903383731842041,,,186.1561737060547
