max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_r2,trees
3,0.005,0.6,0.6,1,9.54385757446289,9.583728790283203,0.3636590838432312,999
3,0.005,0.6,0.6,3,9.543656349182129,9.58420467376709,0.36349713802337646,997
3,0.005,0.6,0.6,5,9.544404983520508,9.57942008972168,0.3638731837272644,999
3,0.005,0.6,0.6,10,9.542529106140137,9.57852840423584,0.36424052715301514,999
3,0.005,0.6,0.7,1,9.535774230957031,9.5658540725708,0.3644561171531677,990
3,0.005,0.6,0.7,3,9.535408973693848,9.563446044921875,0.364602267742157,990
3,0.005,0.6,0.7,5,9.532228469848633,9.560635566711426,0.3648579716682434,990
3,0.005,0.6,0.7,10,9.52885627746582,9.55654239654541,0.36520642042160034,997
3,0.005,0.6,0.8,1,9.531698226928711,9.542438507080078,0.3662877678871155,990
3,0.005,0.6,0.8,3,9.533010482788086,9.542929649353027,0.36626362800598145,990
3,0.005,0.6,0.8,5,9.532085418701172,9.543256759643555,0.3664398193359375,997
3,0.005,0.6,0.8,10,9.5294828414917,9.538485527038574,0.36685436964035034,997
3,0.005,0.7,0.6,1,9.545306205749512,9.58967113494873,0.3631436228752136,999
3,0.005,0.7,0.6,3,9.5458402633667,9.59223461151123,0.3629229664802551,999
3,0.005,0.7,0.6,5,9.5468168258667,9.5878324508667,0.3632073402404785,999
3,0.005,0.7,0.6,10,9.54452896118164,9.585740089416504,0.3636717200279236,999
3,0.005,0.7,0.7,1,9.543975830078125,9.573463439941406,0.36337244510650635,999
3,0.005,0.7,0.7,3,9.54522705078125,9.577597618103027,0.36311233043670654,999
3,0.005,0.7,0.7,5,9.544629096984863,9.574882507324219,0.36312031745910645,999
3,0.005,0.7,0.7,10,9.542916297912598,9.571340560913086,0.36398255825042725,999
3,0.005,0.7,0.8,1,9.531557083129883,9.555167198181152,0.36514025926589966,999
3,0.005,0.7,0.8,3,9.53470516204834,9.555316925048828,0.36513370275497437,999
3,0.005,0.7,0.8,5,9.534082412719727,9.551904678344727,0.3650818467140198,999
3,0.005,0.7,0.8,10,9.528230667114258,9.54589557647705,0.36590778827667236,999
3,0.005,0.8,0.6,1,9.54519271850586,9.586037635803223,0.3630688786506653,999
3,0.005,0.8,0.6,3,9.542719841003418,9.58755874633789,0.3627658486366272,999
3,0.005,0.8,0.6,5,9.542119026184082,9.583027839660645,0.36305010318756104,999
3,0.005,0.8,0.6,10,9.53791332244873,9.578794479370117,0.36339640617370605,999
3,0.005,0.8,0.7,1,9.549983024597168,9.577433586120605,0.36350005865097046,999
3,0.005,0.8,0.7,3,9.54796028137207,9.577579498291016,0.3632269501686096,999
3,0.005,0.8,0.7,5,9.54533863067627,9.577692985534668,0.36329156160354614,999
3,0.005,0.8,0.7,10,9.539562225341797,9.571257591247559,0.3637755513191223,999
3,0.005,0.8,0.8,1,9.52706527709961,9.561894416809082,0.364620566368103,999
3,0.005,0.8,0.8,3,9.528938293457031,9.561258316040039,0.3645482659339905,999
3,0.005,0.8,0.8,5,9.526148796081543,9.561243057250977,0.3645327091217041,999
3,0.005,0.8,0.8,10,9.521058082580566,9.556015014648438,0.36509495973587036,999
3,0.01,0.6,0.6,1,9.46670913696289,9.526534080505371,0.3688255548477173,905
3,0.01,0.6,0.6,3,9.489510536193848,9.540743827819824,0.3662930727005005,703
3,0.01,0.6,0.6,5,9.482526779174805,9.539313316345215,0.36641716957092285,702
3,0.01,0.6,0.6,10,9.469724655151367,9.526763916015625,0.36870479583740234,856
3,0.01,0.6,0.7,1,9.487499237060547,9.527585983276367,0.3666362762451172,702
3,0.01,0.6,0.7,3,9.491608619689941,9.528197288513184,0.3673912286758423,702
3,0.01,0.6,0.7,5,9.482871055603027,9.524003028869629,0.3667718172073364,702
