hidden_dims,lr,dropout,weight_decay,batch_size,val_mae,test_mae,test_r2
"(64, 32)",0.002,0.5,1e-05,128,9.212308883666992,9.398489952087402,0.3808613419532776
"(64, 32)",0.002,0.5,1e-05,256,9.294445037841797,9.407861709594727,0.3800363540649414
"(64, 32)",0.002,0.5,0.0001,64,9.319231033325195,9.426384925842285,0.3725954294204712
"(64, 32)",0.002,0.5,0.0001,128,9.262691497802734,9.369462013244629,0.38398033380508423
"(64, 32)",0.002,0.5,0.0001,256,9.303629875183105,9.384750366210938,0.3814381957054138
"(64, 32)",0.002,0.5,0.001,64,9.308391571044922,9.408368110656738,0.37468135356903076
"(64, 32)",0.002,0.5,0.001,128,9.244040489196777,9.400225639343262,0.3807450532913208
"(64, 32)",0.002,0.5,0.001,256,9.290475845336914,9.40073013305664,0.38291049003601074
"(128, 64)",0.0005,0.2,1e-05,64,9.37581729888916,9.470946311950684,0.3729873299598694
"(128, 64)",0.0005,0.2,1e-05,128,9.414243698120117,9.412527084350586,0.3747286796569824
"(128, 64)",0.0005,0.2,1e-05,256,9.37687873840332,9.465869903564453,0.37061113119125366
"(128, 64)",0.0005,0.2,0.0001,64,9.381888389587402,9.465725898742676,0.3732836842536926
"(128, 64)",0.0005,0.2,0.0001,128,9.402100563049316,9.416780471801758,0.3738391399383545
"(128, 64)",0.0005,0.2,0.0001,256,9.38507080078125,9.477198600769043,0.370197594165802
"(128, 64)",0.0005,0.2,0.001,64,9.382493019104004,9.47652816772461,0.3732113838195801
"(128, 64)",0.0005,0.2,0.001,128,9.41195297241211,9.420233726501465,0.37393373250961304
"(128, 64)",0.0005,0.2,0.001,256,9.378931999206543,9.476828575134277,0.3695022463798523
"(128, 64)",0.0005,0.3,1e-05,64,9.363897323608398,9.513505935668945,0.37357914447784424
"(128, 64)",0.0005,0.3,1e-05,128,9.403042793273926,9.424946784973145,0.37343525886535645
"(128, 64)",0.0005,0.3,1e-05,256,9.3733549118042,9.454828262329102,0.37375974655151367
"(128, 64)",0.0005,0.3,0.0001,64,9.372772216796875,9.505919456481934,0.37489932775497437
"(128, 64)",0.0005,0.3,0.0001,128,9.397735595703125,9.431076049804688,0.3744089603424072
"(128, 64)",0.0005,0.3,0.0001,256,9.369213104248047,9.457006454467773,0.3733457922935486
"(128, 64)",0.0005,0.3,0.001,64,9.369038581848145,9.519001007080078,0.37425774335861206
"(128, 64)",0.0005,0.3,0.001,128,9.396101951599121,9.423456192016602,0.3744887113571167
"(128, 64)",0.0005,0.3,0.001,256,9.370441436767578,9.454461097717285,0.3737095594406128
"(128, 64)",0.0005,0.4,1e-05,64,9.369853973388672,9.395580291748047,0.3769899606704712
